name,unit,amount,category,source_external_id,is_canonical,calories,fat,protein,carbs,fiber,sugar,sodium,calcium,iron,magnesium,potassium,phosphorus,cholesterol,trans_fat,saturated_fat,water,omega3,omega6,zinc,vitamin_c,glycemic_load,kcal_per_g,burn_run_10kph_min_per_g,burn_walk_7kph_min_per_g,burn_cycle_15kph_min_per_g,burn_swim_crawl_min_per_g,burn_hike_min_per_g,burn_aerobics_min_per_g,nutrient_source,nutrient_source_ref,nutrient_match_score,data_quality_status,data_quality_flags
آب توت فرنگی,گرم,100,نوشیدنی,,true,57,0.1,0.4,14,0.3,13,,,,,,,,,,,,,,,,0.57,0.04748,0.087794,0.080225,0.056061,0.066472,0.068427,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب دوغ خیار,قاشق غذاخوری,1,نوشیدنی,,false,13.8,0.58,0.7,1.52,0.14,,,,,,,,,,,,,,,,,0.92,0.076635,0.141702,0.129486,0.090484,0.107289,0.110444,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب دوغ خیار,گرم,100,نوشیدنی,,true,69,2.9,3.5,7.6,0.7,,,,,,,,,,,,,,,,,0.69,0.057476,0.106276,0.097115,0.067863,0.080466,0.082833,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب زرشک,لیوان,1,نوشیدنی,,false,87.15,0.75,0.5,17.43,0.25,,,,,,,,,,,,,,,,,0.363125,0.030248,0.05593,0.051108,0.035714,0.042347,0.043592,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب زرشک,گرم,100,نوشیدنی,,true,71.5,0.15,0.65,16.5,1.8,16.5,,,,,,,,,,,,,,,,0.715,0.059559,0.110127,0.100633,0.070322,0.083382,0.085834,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب زغال اخته,گرم,100,نوشیدنی,,true,46,0.1,0.4,12,0.1,12,,,,,,,,,,,,,,,,0.46,0.038317,0.070851,0.064743,0.045242,0.053644,0.055222,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب سبزیجات,گرم,100,نوشیدنی,31080,true,21,0,0.8,4.5,0.8,2.5,21,3,0.0512,1.0243,19,2,,,,92.34,0,0,0.01,32.5,,0.21,0.017493,0.032345,0.029557,0.020654,0.02449,0.02521,merged,FoodID:31080|آب میوه و سبزیجات Mixed vegetable and fruit juice,0.9,verified,
آب سیب,گرم,100,نوشیدنی,31020,true,46,0.1,0.1,11,0.2,10,4,8,0.1246,5.0135,101,7,,,,88.24,0.007,0.033,0.02,0.9,,0.46,0.038317,0.070851,0.064743,0.045242,0.053644,0.055222,merged,FoodID:31020|آب سیب Apple juice,1,verified,
آب سیب شیرین نشده,لیوان,1,نوشیدنی,31020,false,91.2,0.24,0.24,23.76,0,23.4439,9.6,19.2,0.299,12.0323,242.4,16.8,,,,211.776,0.0168,0.0792,0.048,2.16,,0.38,0.031653,0.058529,0.053483,0.037374,0.044315,0.045618,merged,FoodID:31020|آب سیب Apple juice,0.9,verified,
آب سیب شیرین نشده,گرم,100,نوشیدنی,31020,true,38,0.1,0.1,9.9,0,9.7683,4,8,0.1246,5.0135,101,7,,,,88.24,0.007,0.033,0.02,0.9,,0.38,0.031653,0.058529,0.053483,0.037374,0.044315,0.045618,merged,FoodID:31020|آب سیب Apple juice,0.9,verified,
آب سیب پاکتی,لیوان,1,نوشیدنی,31020,false,117.6,0,1.92,27.84,0,23.4439,9.6,19.2,0.299,12.0323,242.4,16.8,,,,211.776,0.0168,0.0792,0.048,2.16,,0.49,0.040816,0.075472,0.068966,0.048193,0.057143,0.058824,merged,FoodID:31020|آب سیب Apple juice,0.9,verified,
آب سیب پاکتی,پاکت  لیتری,1,نوشیدنی,31020,false,490,0,8,116,0,9.7683,,,,,,,,,,,,,,,,0.49,0.040816,0.075472,0.068966,0.048193,0.057143,0.058824,merged,FoodID:31020|آب سیب Apple juice,0.9,verified,
آب سیب پاکتی,گرم,100,نوشیدنی,31020,true,49,0,0.8,11.6,0,9.7683,4,8,0.1246,5.0135,101,7,,,,88.24,0.007,0.033,0.02,0.9,,0.49,0.040816,0.075472,0.068966,0.048193,0.057143,0.058824,merged,FoodID:31020|آب سیب Apple juice,0.9,verified,
آب شاتوت,گرم,100,نوشیدنی,,true,38,0.6,0.3,7.8,0.1,7.7,,,,,,,,,,,,,,,,0.38,0.031653,0.058529,0.053483,0.037374,0.044315,0.045618,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب طالبی,لیوان,1,نوشیدنی,,false,75,0.75,1.25,10.5,0.75,,,,,,,,,,,,,,,,,0.3125,0.026031,0.048132,0.043983,0.030735,0.036443,0.037515,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب طالبی,گرم,100,نوشیدنی,,true,36,0.2,0.4,6.05,0.3,6.05,,,,,,,,,,,,,,,,0.36,0.029988,0.055449,0.050669,0.035407,0.041983,0.043217,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب قلم,قاشق غذاخوری,1,نوشیدنی,,false,6.6,0.48,0.42,0.15,0.15,,,,,,,,,,,,,,,,,0.44,0.036651,0.067771,0.061928,0.043275,0.051312,0.052821,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب قلم,لیوان,1,نوشیدنی,,false,105.6,7.68,6.72,2.4,2.4,,,,,,,,,,,,,,,,,0.44,0.036651,0.067771,0.061928,0.043275,0.051312,0.052821,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب قلم,گرم,100,نوشیدنی,,true,44,3.2,2.8,1,1,,,,,,,,,,,,,,,,,0.44,0.036651,0.067771,0.061928,0.043275,0.051312,0.052821,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب قلم کم چرب,قاشق غذاخوری,1,نوشیدنی,,false,5.4,0.3,0.42,0.15,0.15,,,,,,,,,,,,,,,,,0.36,0.029988,0.055449,0.050669,0.035407,0.041983,0.043217,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب قلم کم چرب,لیوان,1,نوشیدنی,,false,86.4,4.8,6.72,2.4,2.4,,,,,,,,,,,,,,,,,0.36,0.029988,0.055449,0.050669,0.035407,0.041983,0.043217,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب قلم کم چرب,گرم,100,نوشیدنی,,true,36,2,2.8,1,1,,,,,,,,,,,,,,,,,0.36,0.029988,0.055449,0.050669,0.035407,0.041983,0.043217,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب لیمو ترش,گرم,100,نوشیدنی,,true,25,0.1,0.4,8,0.4,1.7,,,,,,,,,,,,,,,,0.25,0.020825,0.038506,0.035186,0.024588,0.029155,0.030012,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب لیمو ترش درشت، تازه,قاشق غذاخوری,1,نوشیدنی,,false,1.05,0,0.05,0.24,0.02,,,,,,,,,,,,,,,,,0.07,0.005831,0.010782,0.009852,0.006885,0.008163,0.008403,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب لیمو ترش درشت، تازه,لیوان,1,نوشیدنی,,false,17.5,0,0.75,4,0.25,,,,,,,,,,,,,,,,,0.072917,0.006074,0.011231,0.010263,0.007172,0.008503,0.008754,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب لیمو ترش درشت، تازه,گرم,100,نوشیدنی,,true,7,0,0.3,1.6,0.1,,,,,,,,,,,,,,,,,0.07,0.005831,0.010782,0.009852,0.006885,0.008163,0.008403,gymshow,gymshow_foods_nutrition7000.csv,,verified,
