name,unit,amount,category,source_external_id,is_canonical,calories,fat,protein,carbs,fiber,sugar,sodium,calcium,iron,magnesium,potassium,phosphorus,cholesterol,trans_fat,saturated_fat,water,omega3,omega6,zinc,vitamin_c,glycemic_load,kcal_per_g,burn_run_10kph_min_per_g,burn_walk_7kph_min_per_g,burn_cycle_15kph_min_per_g,burn_swim_crawl_min_per_g,burn_hike_min_per_g,burn_aerobics_min_per_g,nutrient_source,nutrient_source_ref,nutrient_match_score,data_quality_status,data_quality_flags
دل گاو پخته,گرم,100,تنقلات,,true,165,4.7,29,0.1,0,0,,,,,,,,,,,,,,,,1.65,0.137443,0.254139,0.232231,0.162282,0.19242,0.198079,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوساله خام,گرم,100,گوشت و پروتئین,,true,110,4,17,0.1,0,0,,,,,,,,,,,,,,,,1.1,0.091628,0.169426,0.154821,0.108188,0.12828,0.132053,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوساله پخته,گرم,100,گوشت و پروتئین,,true,186,6.7,29,0.1,0,0,,,,,,,,,,,,,,,,1.86,0.154935,0.286484,0.261787,0.182936,0.21691,0.223289,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوسفند بریان شده,پرس,1,گوشت و پروتئین,,false,259.9,15.99,29.1,0,0,0,,,,,,,,,,,,,,,,1.0396,0.086597,0.160123,0.146319,0.102247,0.121236,0.124802,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوسفند بریان شده,گرم,100,گوشت و پروتئین,,true,226,13.9,25.3,0,0,0,,,,,,,,,,,,,,,,2.26,0.188255,0.348094,0.318086,0.222277,0.263557,0.271309,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوسفند خام,گرم,100,گوشت و پروتئین,,true,122,5.7,17,0.2,0,0,,,,,,,,,,,,,,,,1.22,0.101624,0.187909,0.17171,0.11999,0.142274,0.146459,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوسفند پخته,گرم,100,گوشت و پروتئین,,true,185,7.9,25,1.9,0,0,,,,,,,,,,,,,,,,1.85,0.154102,0.284944,0.26038,0.181952,0.215743,0.222089,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوسفند کباب شده,تکه,1,گوشت و پروتئین,,false,56.5,3.48,6.33,0,0,0,,,,,,,,,,,,,,,,1.883333,0.156879,0.290078,0.265072,0.185231,0.219631,0.22609,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوسفند کباب شده,سیخ,1,گوشت و پروتئین,,false,259.9,15.99,29.1,0,0,0,,,,,,,,,,,,,,,,2.26,0.188255,0.348094,0.318086,0.222277,0.263557,0.271309,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوسفند کباب شده,گرم,100,گوشت و پروتئین,,true,226,13.9,25.3,0,0,0,,,,,,,,,,,,,,,,2.26,0.188255,0.348094,0.318086,0.222277,0.263557,0.271309,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوسفند، خام,پرس,1,گوشت و پروتئین,,false,136.85,6.44,19.67,0,0,0,,,,,,,,,,,,,,,,0.5474,0.045598,0.084313,0.077044,0.053838,0.063837,0.065714,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دل گوسفند، خام,گرم,100,گوشت و پروتئین,,true,119,5.6,17.1,0,0,0,,,,,,,,,,,,,,,,1.19,0.099125,0.183288,0.167488,0.11704,0.138776,0.142857,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دلمه بادمجان,عدد، بزرگ,1,غذاهای ایرانی,183030,false,182,11.7,6.5,24.7,3.9,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,3.64,0.303207,0.560647,0.512315,0.358003,0.42449,0.436975,merged,FoodID:183030|دلمه,0.9,verified,
دلمه بادمجان,عدد، متوسط,1,غذاهای ایرانی,183030,false,168,10.8,6,22.8,3.6,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,3.36,0.279883,0.51752,0.472906,0.330465,0.391837,0.403361,merged,FoodID:183030|دلمه,0.9,verified,
دلمه بادمجان,گرم,100,غذاهای ایرانی,183030,true,153.5,9,6.4,19,2.75,1.6,601.0199,54.102,1.21,20.1077,186.9085,86.7473,,,,68.2227,0.2057,0.3775,1.561,3.8808,,1.535,0.127863,0.236427,0.216045,0.150971,0.179009,0.184274,merged,FoodID:183030|دلمه,0.9,verified,
دلمه برگ مو,عدد، بزرگ,1,غذاهای ایرانی,183030,false,119,7.65,4.25,16.15,2.55,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,2.38,0.198251,0.366577,0.334975,0.234079,0.277551,0.285714,merged,FoodID:183030|دلمه,0.9,verified,
دلمه برگ مو,عدد، متوسط,1,غذاهای ایرانی,183030,false,84,5.4,3,11.4,1.8,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,1.68,0.139942,0.25876,0.236453,0.165232,0.195918,0.201681,merged,FoodID:183030|دلمه,0.9,verified,
دلمه برگ مو,گرم,100,غذاهای ایرانی,183030,true,150,8.85,5.45,17,3.05,4.1,601.0199,54.102,1.21,20.1077,186.9085,86.7473,,,,68.2227,0.2057,0.3775,1.561,3.8808,,1.5,0.124948,0.231036,0.211119,0.147529,0.174927,0.180072,merged,FoodID:183030|دلمه,0.9,verified,
دلمه برگ مو (بدون گوشت),گرم,100,گوشت و پروتئین,,true,143,6,2.3,12,2.4,2.3,,,,,,,,,,,,,,,,1.43,0.119117,0.220254,0.201267,0.140644,0.166764,0.171669,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دلمه فلفل ترکیه ای,گرم,100,غذاهای ایرانی,183040,true,154,9.7,4,14,2.2,2.7,253.4288,17.9485,0.6877,19.3315,212.2882,65.1924,,,,77.5178,,0.1302,0.8223,22.3355,,1.54,0.12828,0.237197,0.216749,0.151463,0.179592,0.184874,merged,FoodID:183040|دلمه فلفل,0.9,verified,
دلمه فلفل دلمه ای (با گوشت),گرم,100,ادویه و چاشنی,,true,150,5.7,8,17,1.8,3.8,,,,,,,,,,,,,,,,1.5,0.124948,0.231036,0.211119,0.147529,0.174927,0.180072,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دلمه فلفل دلمه ای (بدون گوشت),گرم,100,ادویه و چاشنی,,true,165,11,3.8,13,0.9,2,,,,,,,,,,,,,,,,1.65,0.137443,0.254139,0.232231,0.162282,0.19242,0.198079,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دلمه فلفل سبز,عدد، بزرگ,1,غذاهای ایرانی,183040,false,182,11.7,6.5,24.7,3.9,,126.7144,8.9742,0.3438,9.6658,106.1441,32.5962,,,,38.7589,,0.0651,0.4112,11.1678,,3.64,0.303207,0.560647,0.512315,0.358003,0.42449,0.436975,merged,FoodID:183040|دلمه فلفل,0.9,verified,
دلمه فلفل سبز,عدد، متوسط,1,غذاهای ایرانی,183040,false,168,10.8,6,22.8,3.6,,126.7144,8.9742,0.3438,9.6658,106.1441,32.5962,,,,38.7589,,0.0651,0.4112,11.1678,,3.36,0.279883,0.51752,0.472906,0.330465,0.391837,0.403361,merged,FoodID:183040|دلمه فلفل,0.9,verified,
دلمه فلفل سبز,گرم,100,غذاهای ایرانی,183040,true,140,9,5,19,3,,253.4288,17.9485,0.6877,19.3315,212.2882,65.1924,,,,77.5178,,0.1302,0.8223,22.3355,,1.4,0.116618,0.215633,0.197044,0.137694,0.163265,0.168067,merged,FoodID:183040|دلمه فلفل,0.9,verified,
دلمه قارچ,گرم,100,غذاهای ایرانی,183030,true,134,9,5.6,6.3,0.7,2.8,601.0199,54.102,1.21,20.1077,186.9085,86.7473,,,,68.2227,0.2057,0.3775,1.561,3.8808,,1.34,0.11162,0.206392,0.1886,0.131792,0.156268,0.160864,merged,FoodID:183030|دلمه,0.9,verified,
دلمه پیاز,عدد، بزرگ,1,غذاهای ایرانی,183030,false,119,7.65,4.25,16.15,2.55,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,2.38,0.198251,0.366577,0.334975,0.234079,0.277551,0.285714,merged,FoodID:183030|دلمه,0.9,verified,
دلمه پیاز,عدد، متوسط,1,غذاهای ایرانی,183030,false,84,5.4,3,11.4,1.8,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,1.68,0.139942,0.25876,0.236453,0.165232,0.195918,0.201681,merged,FoodID:183030|دلمه,0.9,verified,
دلمه پیاز,گرم,100,غذاهای ایرانی,183030,true,140,9,5,19,3,,601.0199,54.102,1.21,20.1077,186.9085,86.7473,,,,68.2227,0.2057,0.3775,1.561,3.8808,,1.4,0.116618,0.215633,0.197044,0.137694,0.163265,0.168067,merged,FoodID:183030|دلمه,0.9,verified,
دلمه کدو,عدد، بزرگ,1,غذاهای ایرانی,183030,false,133,8.55,4.75,18.05,2.85,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,2.66,0.221574,0.409704,0.374384,0.261618,0.310204,0.319328,merged,FoodID:183030|دلمه,0.9,verified,
دلمه کدو,عدد، متوسط,1,غذاهای ایرانی,183030,false,105,6.75,3.75,14.25,2.25,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,2.1,0.174927,0.32345,0.295567,0.20654,0.244898,0.252101,merged,FoodID:183030|دلمه,0.9,verified,
دلمه کدو,گرم,100,غذاهای ایرانی,183030,true,140,9,5,19,3,,601.0199,54.102,1.21,20.1077,186.9085,86.7473,,,,68.2227,0.2057,0.3775,1.561,3.8808,,1.4,0.116618,0.215633,0.197044,0.137694,0.163265,0.168067,merged,FoodID:183030|دلمه,0.9,verified,
دلمه کدو سبز,گرم,100,غذاهای ایرانی,183030,true,110,5.6,8.8,10,1.4,1.4,601.0199,54.102,1.21,20.1077,186.9085,86.7473,,,,68.2227,0.2057,0.3775,1.561,3.8808,,1.1,0.091628,0.169426,0.154821,0.108188,0.12828,0.132053,merged,FoodID:183030|دلمه,0.9,verified,
دلمه کلم,عدد، بزرگ,1,غذاهای ایرانی,183030,false,126,8.1,4.5,17.1,2.7,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,2.52,0.209913,0.38814,0.35468,0.247849,0.293878,0.302521,merged,FoodID:183030|دلمه,0.9,verified,
دلمه کلم,عدد، متوسط,1,غذاهای ایرانی,183030,false,91,5.85,3.25,12.35,1.95,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,1.82,0.151603,0.280323,0.256158,0.179002,0.212245,0.218487,merged,FoodID:183030|دلمه,0.9,verified,
دلمه کلم,گرم,100,غذاهای ایرانی,183030,true,140,9,5,19,3,,601.0199,54.102,1.21,20.1077,186.9085,86.7473,,,,68.2227,0.2057,0.3775,1.561,3.8808,,1.4,0.116618,0.215633,0.197044,0.137694,0.163265,0.168067,merged,FoodID:183030|دلمه,0.9,verified,
دلمه کلم برگ,گرم,100,غذاهای ایرانی,183030,true,150,4.5,9,17,3,2.6,601.0199,54.102,1.21,20.1077,186.9085,86.7473,,,,68.2227,0.2057,0.3775,1.561,3.8808,,1.5,0.124948,0.231036,0.211119,0.147529,0.174927,0.180072,merged,FoodID:183030|دلمه,0.9,verified,
دلمه گوجه فرنگی,عدد، بزرگ,1,غذاهای ایرانی,183030,false,130.2,8.37,4.65,17.67,2.79,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,2.604,0.21691,0.401078,0.366502,0.25611,0.303673,0.312605,merged,FoodID:183030|دلمه,0.9,verified,
دلمه گوجه فرنگی,عدد، متوسط,1,غذاهای ایرانی,183030,false,98,6.3,3.5,13.3,2.1,,300.5099,27.051,0.605,10.0538,93.4543,43.3736,,,,34.1114,0.1029,0.1888,0.7805,1.9404,,1.96,0.163265,0.301887,0.275862,0.192771,0.228571,0.235294,merged,FoodID:183030|دلمه,0.9,verified,
دلمه گوجه فرنگی,گرم,100,غذاهای ایرانی,183030,true,131.5,7.7,5.2,15.5,2.55,3.5,601.0199,54.102,1.21,20.1077,186.9085,86.7473,,,,68.2227,0.2057,0.3775,1.561,3.8808,,1.315,0.109538,0.202541,0.185081,0.129334,0.153353,0.157863,merged,FoodID:183030|دلمه,0.9,verified,
دم کرده زنجبیل,لیوان,1,تنقلات,,false,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دم کرده زنجبیل,گرم,100,تنقلات,,true,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمنوش,استکان,1,تنقلات,,false,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمنوش,لیوان,1,تنقلات,,false,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمنوش,گرم,100,تنقلات,,true,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک,گرم,100,تنقلات,,true,167,3.2,3.9,30,2.6,0.6,,,,,,,,,,,,,,,,1.67,0.139109,0.25722,0.235046,0.164249,0.194752,0.20048,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک باقالی,قاشق غذاخوری,1,تنقلات,,false,29,1,1.4,3.8,0.36,,,,,,,,,,,,,,,,,1.933333,0.161044,0.297779,0.272109,0.190148,0.225462,0.232093,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک باقالی,کفگیر,1,تنقلات,,false,145,5,7,19,1.8,,,,,,,,,,,,,,,,,2.9,0.241566,0.446669,0.408163,0.285223,0.338192,0.348139,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک باقالی,گرم,100,تنقلات,,true,145,5,7,19,1.8,,,,,,,,,,,,,,,,,1.45,0.120783,0.223335,0.204082,0.142611,0.169096,0.17407,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک ماهی,قاشق غذاخوری,1,گوشت و پروتئین,,false,47.4,2.6,2,3.8,0.2,,,,,,,,,,,,,,,,,3.16,0.263224,0.486715,0.444757,0.310794,0.368513,0.379352,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک ماهی,کفگیر,1,گوشت و پروتئین,,false,237,13,10,19,1,,,,,,,,,,,,,,,,,4.74,0.394835,0.730073,0.667136,0.466191,0.55277,0.569028,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک ماهی,گرم,100,گوشت و پروتئین,,true,237,13,10,19,1,,,,,,,,,,,,,,,,,2.37,0.197418,0.365037,0.333568,0.233096,0.276385,0.284514,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک میگو,قاشق غذاخوری,1,گوشت و پروتئین,,false,38.2,2,2,3,0.2,,,,,,,,,,,,,,,,,2.546667,0.212134,0.392247,0.358433,0.250471,0.296987,0.305722,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک میگو,کفگیر,1,گوشت و پروتئین,,false,191,10,10,15,1,,,,,,,,,,,,,,,,,3.82,0.318201,0.588371,0.53765,0.375707,0.445481,0.458583,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک میگو,گرم,100,گوشت و پروتئین,,true,191,10,10,15,1,,,,,,,,,,,,,,,,,1.91,0.1591,0.294186,0.268825,0.187853,0.222741,0.229292,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک گوجه,قاشق غذاخوری,1,سبزیجات,,false,28.8,1.8,0.8,6.8,0.22,,,,,,,,,,,,,,,,,1.92,0.159933,0.295726,0.270232,0.188837,0.223907,0.230492,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک گوجه,کفگیر,1,سبزیجات,,false,144,9,4,34,1.1,,,,,,,,,,,,,,,,,2.88,0.2399,0.443589,0.405348,0.283255,0.33586,0.345738,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دمپختک گوجه,گرم,100,سبزیجات,,true,162,6.1,3.55,33.5,1.1,1.5,,,,,,,,,,,,,,,,1.62,0.134944,0.249519,0.228008,0.159331,0.188921,0.194478,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنبلان گوسفند پخته,گرم,100,گوشت و پروتئین,,true,125,3.1,23,0,0,0,,,,,,,,,,,,,,,,1.25,0.104123,0.19253,0.175932,0.122941,0.145773,0.15006,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنبه,گرم,100,تنقلات,,true,900,100,0,0,0,0,,,,,,,,,,,,,,,,9,0.749688,1.386215,1.266714,0.885173,1.049563,1.080432,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنبه گاو,گرم,100,تنقلات,,true,902,100,0,0,0,0,,,,,,,,,,,,,,,,9.02,0.751354,1.389295,1.269529,0.88714,1.051895,1.082833,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنت (دسر شیری),عدد,1,تنقلات,,false,132,5,4,18,1,,,,,,,,,,,,,,,,,2.64,0.219908,0.406623,0.371569,0.259651,0.307872,0.316927,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنت (دسر شیری),قاشق غذاخوری,1,تنقلات,,false,19.8,0.75,0.6,2.7,0.15,,,,,,,,,,,,,,,,,1.32,0.109954,0.203312,0.185785,0.129825,0.153936,0.158463,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنت (دسر شیری),گرم,100,تنقلات,,true,132,5,4,18,1,,,,,,,,,,,,,,,,,1.32,0.109954,0.203312,0.185785,0.129825,0.153936,0.158463,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گاو با چربی خام,گرم,100,تنقلات,,true,306,26,17,0,0,0,,,,,,,,,,,,,,,,3.06,0.254894,0.471313,0.430683,0.300959,0.356851,0.367347,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گاو با چربی پخته,گرم,100,تنقلات,,true,337,27,22,0,0,0,,,,,,,,,,,,,,,,3.37,0.280716,0.51906,0.474314,0.331448,0.393003,0.404562,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گاو با چربی کباب شده,گرم,100,غذاهای ایرانی,,true,351,28,23,0,0,0,,,,,,,,,,,,,,,,3.51,0.292378,0.540624,0.494018,0.345218,0.409329,0.421369,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گاو بدون چربی خام,گرم,100,تنقلات,,true,175,10,19,0.4,0,0,,,,,,,,,,,,,,,,1.75,0.145773,0.269542,0.246305,0.172117,0.204082,0.210084,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گاو بدون چربی پخته,گرم,100,تنقلات,,true,295,18,31,0,0,0,,,,,,,,,,,,,,,,2.95,0.245731,0.45437,0.415201,0.29014,0.344023,0.354142,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گاو بدون چربی کباب شده,گرم,100,غذاهای ایرانی,,true,238,13,28,0,0,0,,,,,,,,,,,,,,,,2.38,0.198251,0.366577,0.334975,0.234079,0.277551,0.285714,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوساله با چربی خام,گرم,100,گوشت و پروتئین,,true,162,9,19,0,0,0,,,,,,,,,,,,,,,,1.62,0.134944,0.249519,0.228008,0.159331,0.188921,0.194478,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوساله با چربی پخته,گرم,100,گوشت و پروتئین,,true,251,13,32,0,0,0,,,,,,,,,,,,,,,,2.51,0.20908,0.3866,0.353272,0.246865,0.292711,0.301321,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوساله با چربی کباب شده,گرم,100,گوشت و پروتئین,,true,228,14,24,0,0,0,,,,,,,,,,,,,,,,2.28,0.189921,0.351174,0.320901,0.224244,0.265889,0.273709,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوساله بدون چربی خام,گرم,100,گوشت و پروتئین,,true,120,3.9,20,0,0,0,,,,,,,,,,,,,,,,1.2,0.099958,0.184829,0.168895,0.118023,0.139942,0.144058,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوساله بدون چربی پخته,گرم,100,گوشت و پروتئین,,true,218,7.8,34,0,0,0,,,,,,,,,,,,,,,,2.18,0.181591,0.335772,0.306826,0.214409,0.254227,0.261705,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوساله بدون چربی کباب شده,گرم,100,گوشت و پروتئین,,true,177,7.4,26,0,0,0,,,,,,,,,,,,,,,,1.77,0.147439,0.272622,0.24912,0.174084,0.206414,0.212485,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوسفند با چربی خام,گرم,100,گوشت و پروتئین,,true,372,34,15,0,0,0,,,,,,,,,,,,,,,,3.72,0.309871,0.572969,0.523575,0.365872,0.433819,0.446579,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوسفند با چربی پخته,گرم,100,گوشت و پروتئین,,true,361,30,22,0,0,0,,,,,,,,,,,,,,,,3.61,0.300708,0.556026,0.508093,0.355053,0.420991,0.433373,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوسفند با چربی کباب شده,گرم,100,گوشت و پروتئین,,true,359,30,21,0,0,0,,,,,,,,,,,,,,,,3.59,0.299042,0.552946,0.505278,0.353086,0.418659,0.430972,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوسفند بدون چربی خام,گرم,100,گوشت و پروتئین,,true,169,9.2,20,0,0,0,,,,,,,,,,,,,,,,1.69,0.140775,0.2603,0.237861,0.166216,0.197085,0.202881,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوسفند بدون چربی پخته,گرم,100,گوشت و پروتئین,,true,235,13,28,0,0,0,,,,,,,,,,,,,,,,2.35,0.195752,0.361956,0.330753,0.231129,0.274052,0.282113,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دنده گوسفند بدون چربی کباب شده,گرم,100,گوشت و پروتئین,,true,232,13,26,0,0,0,,,,,,,,,,,,,,,,2.32,0.193253,0.357335,0.326531,0.228178,0.270554,0.278511,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دو پیازه میگو,قاشق غذاخوری,1,گوشت و پروتئین,,false,21.19,0.92,1.37,2,0.17,,,,,,,,,,,,,,,,,1.412667,0.117673,0.217584,0.198827,0.138939,0.164742,0.169588,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دو پیازه میگو,لیوان,1,گوشت و پروتئین,,false,394.46,17.18,25.41,37.27,3.15,,,,,,,,,,,,,,,,,1.643583,0.136908,0.253151,0.231328,0.161651,0.191672,0.197309,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دو پیازه میگو,گرم,100,گوشت و پروتئین,,true,163,7.1,10.5,15.4,1.3,,,,,,,,,,,,,,,,,1.63,0.135777,0.251059,0.229416,0.160315,0.190087,0.195678,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوریان (خارگیل),عدد,1,تنقلات,,false,391.3,31.91,9.03,163.14,22.88,,,,,,,,,,,,,,,,,7.826,0.651895,1.205391,1.101478,0.769707,0.912653,0.939496,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوریان (خارگیل),فنجان برش خورده,1,تنقلات,,false,157.95,12.88,3.65,65.85,9.23,,,,,,,,,,,,,,,,,1.31625,0.109642,0.202734,0.185257,0.129457,0.153499,0.158013,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوریان (خارگیل),گرم,100,تنقلات,,true,65,5.3,1.5,27.1,3.8,,,,,,,,,,,,,,,,,0.65,0.054144,0.100116,0.091485,0.063929,0.075802,0.078031,gymshow,gymshow_foods_nutrition7000.csv,,needs_review,macro-energy mismatch (162.1 vs 65.0 kcal)
دوغ,لیتر (1000 گرم),1,نوشیدنی,,false,190,10,11,15,,15,,,,,,,,,,,,,,,,0.19,0.015827,0.029265,0.026742,0.018687,0.022157,0.022809,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ,لیوان (250 گرم),1,نوشیدنی,,false,47.5,2.5,2.75,3.75,,3.75,,,,,,,,,,,,,,,,0.19,0.015827,0.029265,0.026742,0.018687,0.022157,0.022809,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ,میلی‌لیتر (1 گرم),1,نوشیدنی,,false,0.19,0.01,0.01,0.02,,0.02,,,,,,,,,,,,,,,,0.19,0.015827,0.029265,0.026742,0.018687,0.022157,0.022809,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ,پیمانه (240 گرم),1,نوشیدنی,,false,45.6,2.4,2.64,3.6,,3.6,,,,,,,,,,,,,,,,0.19,0.015827,0.029265,0.026742,0.018687,0.022157,0.022809,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ,گرم,100,نوشیدنی,,true,19,1,1.1,1.5,,1.5,,,,,,,,,,,,,,,,0.19,0.015827,0.029265,0.026742,0.018687,0.022157,0.022809,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ پر چرب,گرم,100,نوشیدنی,,true,40,0.8,3.3,4.7,0,4.7,,,,,,,,,,,,,,,,0.4,0.033319,0.06161,0.056298,0.039341,0.046647,0.048019,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ پر چرب (غلیظ),لیوان,1,نوشیدنی,,false,98.4,5.28,5.52,7.68,0.24,,,,,,,,,,,,,,,,,0.41,0.034152,0.06315,0.057706,0.040325,0.047813,0.04922,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ پر چرب (غلیظ),گرم,100,نوشیدنی,,true,41,2.2,2.3,3.2,0.1,,,,,,,,,,,,,,,,,0.41,0.034152,0.06315,0.057706,0.040325,0.047813,0.04922,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ کره,لیوان,1,رب و سس و روغن,,false,88.8,1.2,8.16,12,0,,,,,,,,,,,,,,,,,0.37,0.03082,0.056989,0.052076,0.03639,0.043149,0.044418,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ کره,گرم,100,رب و سس و روغن,,true,37,0.5,3.4,5,0,,,,,,,,,,,,,,,,,0.37,0.03082,0.056989,0.052076,0.03639,0.043149,0.044418,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ کم چرب,لیوان,1,نوشیدنی,,false,60,2.4,5.04,4.56,0,,,,,,,,,,,,,,,,,0.25,0.020825,0.038506,0.035186,0.024588,0.029155,0.030012,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دوغ کم چرب,گرم,100,نوشیدنی,,true,19.5,0.85,1.7,1.15,0,1,,,,,,,,,,,,,,,,0.195,0.016243,0.030035,0.027445,0.019179,0.022741,0.023409,gymshow,gymshow_foods_nutrition7000.csv,,verified,
دونات ساده (پیراشکی),گرم,100,شیرینی و دسر,120430,true,408,23,7.4,44,1.8,15,326,24,3.6827,29.9461,201,210,,,,16.76,0.166,1.794,0.98,1.3,18.4,4.08,0.339858,0.628417,0.574243,0.401279,0.475802,0.489796,merged,FoodID:120430|دونات Doughnuts,0.9,verified,
دونات شکلاتی,گرم,100,شیرینی و دسر,120430,true,452,25,4.9,51,1.9,27,326,24,3.6827,29.9461,201,210,,,,16.76,0.166,1.794,0.98,1.3,18.4,4.52,0.37651,0.696188,0.636172,0.444554,0.527114,0.542617,merged,FoodID:120430|دونات Doughnuts,0.9,verified,
